NAME_CHN,adcode,level,x,y
沽源县,130724,district,115.684,41.667
甘德县,632623,district,99.902,33.966
康保县,130723,district,114.615,41.85
玛多县,632626,district,98.211,34.915
南华县,532324,district,101.274,25.192
蔚县,130726,district,114.582,39.837
久治县,632625,district,101.484,33.43
牟定县,532323,district,101.543,25.312
尚义县,130725,district,113.977,41.08
大姚县,532326,district,101.323,25.722
姚安县,532325,district,101.238,25.505
加查县,540528,district,92.591,29.14
洛扎县,540527,district,90.858,28.385
息烽县,520122,district,106.737,27.092
错那县,540530,district,91.96,27.991
开阳县,520121,district,106.969,27.056
隆子县,540529,district,92.463,28.408
修文县,520123,district,106.599,26.84
浪卡子县,540531,district,90.398,28.968
班玛县,632622,district,100.737,32.931
玛沁县,632621,district,100.243,34.473
金川区,620302,district,102.187,38.513
贡嘎县,540522,district,90.985,29.289
扎囊县,540521,district,91.338,29.246
永昌县,620321,district,101.971,38.247
琼结县,540524,district,91.683,29.025
怀安县,130728,district,114.422,40.671
桑日县,540523,district,92.015,29.259
石棉县,511824,district,102.359,29.234
阳原县,130727,district,114.167,40.113
措美县,540526,district,91.432,28.437
元谋县,532328,district,101.87,25.703
汉源县,511823,district,102.677,29.349
怀来县,130730,district,115.52,40.405
曲松县,540525,district,92.201,29.063
永仁县,532327,district,101.671,26.056
芦山县,511826,district,102.924,30.152
喀什市,653101,district,75.993,39.467
天全县,511825,district,102.763,30.059
赤城县,130732,district,115.832,40.912
武定县,532329,district,102.406,25.53
涿鹿县,130731,district,115.219,40.378
扶余市,220781,district,126.042,44.986
宝兴县,511827,district,102.813,30.369
疏勒县,653122,district,76.048,39.401
禄丰县,532331,district,102.075,25.143
疏附县,653121,district,75.863,39.378
洮北区,220802,district,122.842,45.619
泽普县,653124,district,77.273,38.191
英吉沙县,653123,district,76.174,38.929
叶城县,653126,district,77.42,37.884
莎车县,653125,district,77.248,38.414
荥经县,511822,district,102.844,29.795
岑溪市,450481,district,110.998,22.918
同德县,632522,district,100.579,35.254
共和县,632521,district,100.619,36.28
兴海县,632524,district,99.986,35.589
贵德县,632523,district,101.431,36.04
贵南县,632525,district,100.747,35.587
